la,Current Price (smoothed) GVA (B) per hour worked indices,Productivity Hours,Productivity Jobs,Current Price (smoothed) GVA (B) per hour worked
S12000042,81.9,"2,250,029","75,178",32.5
S12000045,88.4,"824,604","27,116",35.1
S12000047,91.3,"4,491,077","149,114",36.3
S12000048,97.5,"2,159,323","70,724",38.7
S12000049,90.5,"13,388,413","444,328",36.0
S12000050,102.5,"4,096,125","131,506",40.7
W06000001,79.7,"783,057","27,028",31.7
W06000002,69.3,"1,808,095","61,700",27.6
W06000003,66.8,"1,393,511","49,303",26.5
W06000004,75.7,"1,336,639","46,015",30.1
W06000005,96.9,"2,213,508","75,063",38.5
W06000006,93,"1,885,284","63,474",37.0
W06000008,70.5,"1,006,105","34,204",28.0
W06000009,77.9,"1,670,378","54,686",31.0
W06000010,75.4,"2,336,111","76,084",29.9
W06000011,82,"3,396,680","114,659",32.6
W06000012,79.4,"1,589,121","52,304",31.6
W06000013,90,"1,836,381","60,335",35.8
W06000014,76.3,"1,365,020","46,245",30.3
W06000015,93.1,"7,232,986","232,444",37.0
W06000016,85.5,"2,638,220","85,938",34.0
W06000018,84.7,"1,796,947","58,159",33.7
W06000019,75.1,"736,006","23,633",29.8
W06000020,75.5,"1,183,783","38,680",30.0
W06000021,90.9,"1,099,640","38,859",36.1
W06000022,85.3,"2,387,864","78,367",33.9
W06000023,63.1,"1,879,011","64,329",25.1
W06000024,72.8,"684,605","22,929",28.9
