itl,Grand Total,"Population ('000s, mid-year estimate)",Area (km2),Per Capita Emissions (tCO2e),Emissions per km2 (kt CO2e)
TLJ27,5017.513281093805,1361.5370000000003,3139.0611000000004,3.6851832018474737,1.598412111536728
TLJ28,1762.531148281255,423.135,909.9629,4.165410916802569,1.9369263826923657
TLJ31,752.9582444188702,208.42,60.1359,3.6126966913869603,12.52094413518165
TLJ32,741.4735246647192,252.689,56.3853,2.9343324191584093,13.150121124915877
TLJ34,508.70773807186595,140.794,392.8289,3.613135063084122,1.2949855218693582
TLJ35,1567.5417287083933,460.621,269.7305,3.40310521819108,5.811510855125369
TLJ36,9341.322238158227,1983.208,6316.659,4.710208025662577,1.4788390885368718
TLJ37,1727.0801932241725,389.78700000000003,888.1273,4.430830667067327,1.9446313532127348
TLJ41,889.7672438636208,282.702,269.0637,3.147368054925755,3.30690183723639
TLJ43,2118.1324033148258,380.409,603.2975,5.568039671287551,3.5109252123783468
TLJ44,2080.9505591029206,525.9490000000001,1117.2907,3.9565633913229616,1.8624969840909984
TLJ45,1509.9436259975457,316.038,973.9679000000001,4.777728076995633,1.5503012224504993
TLJ46,9696.352621828308,1963.986,4579.854299999999,4.937078279492984,2.1171749114001965
TLK30,3253.9984399101745,577.694,3634.9091999999996,5.632737123650539,0.8952076271699373
TLK41,867.8082147347209,266.862,84.3699,3.2518987893919733,10.285756113669933
TLK42,422.5514495379054,139.479,119.4665,3.0294987025853737,3.5369869338928104
TLK43,10838.301357812827,1652.638,13266.7748,6.558182347140043,0.8169507300156197
TLK51,1570.2389094057155,479.024,235.4248,3.2779963204468157,6.669810951971566
TLK52,2377.1304509644724,490.383,887.5452,4.8474976721551775,2.6783204404288057
TLK61,1136.547911501046,219.145,390.704,5.186282650761121,2.908974342471656
TLK62,3965.470897464251,576.852,3514.9843,6.87432980637018,1.1281617666014185
TLK63,1265.4366086907835,401.898,173.93220000000002,3.148651171916216,7.275459108151241
TLK64,5732.96316890997,1168.446,5216.082199999999,4.90648533942516,1.099093716143885
TLK71,955.5581920516729,235.657,230.09330000000003,4.054868694974785,4.1529161955244795
TLK72,323926.88497162383,63387.16399999998,160570.18220000007,5.110291493268636,2.0173539105047094
TLK73,7008.327841503173,1304.818,5409.0566,5.371115237146616,1.2956654662299472
TLL31,538.0553322867446,69.049,749.4385000000001,7.792369654690793,0.7179446109143639
TLL32,916.8798027339918,117.591,2622.9573,7.797193686030324,0.3495595611617436
TLL33,1394.2614312881396,210.848,1999.6531,6.612637688231046,0.6972516539434463
TLL34,29660.085457195404,3422.353,22219.158700000007,8.66657690109565,1.3348878712133865
TLL41,2412.6924680052425,205.50099999999998,7001.4863,11.740538819787947,0.34459718474422246
TLL42,3046.252919100446,313.484,4090.0443999999998,9.717411156870673,0.7447970293673208
TLL43,1076.4809273585552,241.282,420.82599999999996,4.461505323059968,2.5580190562335865
TLL44,6275.277922789652,142.158,451.8754,44.14298120956719,13.88718642968759
TLL51,2133.7584545385052,444.03700000000003,791.2278,4.805361838176785,2.6967688123932265
TLL52,2872.174087524075,505.581,489.23350000000005,5.6809375501137795,5.8707633216533095
TLL53,1490.852954196168,336.004,512.3559,4.437009542136903,2.9097995245027293
TLL54,1854.908150476841,255.392,1103.5111000000002,7.262984551109044,1.6809148095355277
TLM01,3818.139398330216,423.09,1540.1001,9.024414186887462,2.4791501528570876
TLM02,1928.9138644445911,243.65,7673.7571,7.916740670817119,0.25136498840243343
TLM03,1804.0526039838878,263.01,2266.1166000000003,6.859254796334314,0.7960987550172341
TLM11,1737.1861691146664,209.48000000000002,1056.2087999999999,8.29284976663484,1.644737450695986
TLM12,2314.3491668650286,158.45,314.9335,14.606179658346663,7.348691602719396
TLM13,2191.893810311669,514.99,273.0043,4.256187130452376,8.028788595313952
TLM14,39965.70490800445,5629.42,80664.4272,7.099435627116906,0.49545637767826917
TLM20,6240.723726435888,622.5600000000001,42812.2747,10.024292801394063,0.1457694964859199
TLM31,809.4969622798042,197.25,357.272,4.1039136237252425,2.2657721911591286
TLM32,2606.8682690611154,622.82,176.3559,4.185588563406948,14.781860255659808
TLM33,1629.921686752001,359.84000000000003,617.1139000000001,4.529573384704316,2.641200735799341
TLM34,1858.214260543704,340.93,472.30910000000006,5.450427538039198,3.9343181415384625
TLM50,3984.7626758013303,487.94,6543.7501,8.166501364514756,0.6089417558597371
TLM91,1182.8093034227045,116.82,4742.685,10.125058238509713,0.24939655562676089
TLM92,2302.9046975875826,145.77,6676.3147,15.798207433543134,0.3449365107950323
TLM93,807.9276989300606,120.39,1270.3421,6.710920333333837,0.6359922251888374
TLM94,807.156255538485,111.56,1234.6853,7.2351761880466565,0.6537344014207385
TLM95,1722.1710157174675,327.43,1774.0223999999998,5.259661655063579,0.9707718548071702
TLN06,1631.9992749727066,348.005,137.7169,4.6895857098970035,11.850392181153559
TLN07,2246.17399150386,220.271,1437.0685999999998,10.197320534722502,1.5630248907420707
TLN08,396989.6492469652,69689.45799999994,264729.6755,5.696552400320943,1.4996038827047373
TLN09,1151.4162375146484,164.223,566.4732,7.011297062620025,2.0326049626260314
TLN0A,1634.0614302867978,150.836,1251.2414999999999,10.833364914786905,1.3059520726309013
TLN0B,2333.7227582102873,151.001,1957.2936,15.455015252947247,1.1923212532909153
TLN0C,1906.5846334256482,141.316,1985.5346,13.491640248985593,0.9602374259434453
TLN0D,1147.6443645079103,146.148,728.1864,7.852617651339124,1.576031033411102
TLN0E,1212.0189535594677,149.915,510.4382,8.08470769142159,2.3744675722927235
