itl,All Trade (imports) 2022,All Trade (exports) 2022,Trade in Goods (imports) 2022,Trade in Goods (exports) 2022,Trade in Services (imports) 2022,Trade in Services (exports) 2022
TLJ41,"1,271",[c],"1,093",[c],178,590
TLJ43,"2,736","2,095","2,491","1,503",245,592
TLJ44,"2,304","1,722","1,900",523,404,"1,199"
TLJ45,"2,086","1,048","1,952",600,134,448
TLJ46,"1,694",[c],"1,368",[c],326,"1,072"
TLK,"40,963","44,668","28,789","25,607","12,174","19,061"
TLK1,"24,428","29,530","19,571","17,315","4,857","12,215"
TLK11,"3,153","3,923","1,821",691,"1,332","3,232"
TLK12,"4,299","7,067","3,005","3,726","1,294","3,341"
TLK13,"10,535","12,936","9,595","10,501",940,"2,435"
TLK14,"3,365","3,328","2,396",903,969,"2,425"
TLK15,"3,076","2,276","2,754","1,494",322,782
TLK2,"5,709","8,195","4,618","4,661","1,091","3,534"
TLK23,"2,592","3,215","2,263","2,383",329,832
TLK24,"1,883","3,626","1,232","1,424",651,"2,202"
TLK25,"1,234","1,354","1,123",854,111,500
TLK3,"1,009","1,978",778,802,231,"1,176"
TLK30,"1,009","1,978",778,802,231,"1,176"
TLK4,[c],"4,965","3,822","2,829",[c],"2,136"
TLK41,"1,763","1,497","1,498",964,265,533
TLK42,[c],301,67,122,[c],179
TLK43,"2,787","3,167","2,257","1,743",530,"1,424"
TLL,"30,378","31,683","24,871","22,312","5,507","9,371"
TLL1,[c],"19,503","19,192","14,665",[c],"4,838"
TLL11,300,[c],261,[c],39,221
TLL12,[c],[c],97,[c],[c],279
TLL13,274,529,230,239,44,290
TLL14,"11,842","6,150","11,719","5,590",123,560
TLL15,"2,596","4,045","2,368","2,989",228,"1,056"
TLL16,"1,351","2,559","1,039","1,531",312,"1,028"
TLL17,"3,307","3,524","3,035","3,082",272,442
TLL18,739,"1,932",443,970,296,962
TLL2,[c],[c],"5,679","7,647",[c],[c]
TLL21,"1,185","2,224",849,"1,538",336,686
TLL22,"2,515","4,600","1,682","1,855",833,"2,745"
TLL23,"3,246","4,319","2,934","3,732",312,587
TLL24,[c],[c],214,522,[c],[c]
TLM,"43,363","64,557","25,684","34,373","17,679","30,184"
TLM5,[c],"15,640","5,648","9,625",[c],"6,015"
TLM50,[c],"15,640","5,648","9,625",[c],"6,015"
TLM6,[c],"5,075","1,306","3,738",[c],"1,337"
TLM61,293,680,179,404,114,276
TLM62,409,"1,287",266,804,143,483
TLM63,519,874,422,529,97,345
TLM64,146,162,89,124,57,38
TLM65,77,380,52,254,25,126
TLM66,[c],"1,692",298,"1,623",[c],69
TLM7,[c],"23,305","9,704","10,429",[c],"12,876"
TLM71,[c],"1,569",452,745,[c],824
TLM72,"1,732","5,230","1,267","3,561",465,"1,669"
TLM73,421,578,279,216,142,362
TLM75,"4,277","10,106","1,599","1,552","2,678","8,554"
TLM76,"4,470","2,335","4,332","2,144",138,191
TLM77,600,"1,232",432,596,168,636
TLM78,"1,631","2,255","1,343","1,615",288,640
TLM8,"8,957","15,056","5,406","7,177","3,551","7,879"
TLM81,741,"2,050",356,"1,294",385,756
TLM82,"4,323","7,226","2,135","2,168","2,188","5,058"
TLM83,"2,437","3,647","2,064","2,562",373,"1,085"
TLM84,"1,456","2,133",851,"1,153",605,980
TLM9,"4,447","5,481","3,620","3,404",827,"2,077"
TLM91,379,470,359,376,20,94
TLM92,361,575,319,355,42,220
TLM93,986,"1,064",563,491,423,573
TLM94,"1,634","2,453","1,550","1,801",84,652
TLM95,"1,087",919,829,381,258,538
TLN,"15,713","17,817","12,279","10,898","3,434","6,919"
TLN06,"2,754","5,921","1,340","1,355","1,414","4,566"
TLN07,"1,375","1,972","1,281","1,565",94,407
TLN08,771,994,625,704,146,290
TLN09,"1,082","1,249","1,059","1,137",23,112
TLN0A,"1,124","1,512","1,034","1,092",90,420
TLN0B,"3,651","2,099","3,594","1,870",57,229
TLN0C,[c],668,276,551,[c],117
TLN0D,"1,224",882,"1,152",595,72,287
TLN0E,811,665,759,449,52,216
TLN0F,588,655,551,512,37,143
TLN0G,653,"1,200",608,"1,068",45,132
